name,email,phone,preferred_date,preferred_time,service,device_type,device_os,device_browser,ip_city,ip_country,created_at
Mateo Diaz,mateo.diaz46@outlook.com,+54541417711,2026-03-25,11:00,Atención Pediátrica,Desktop,iOS,Safari,Barcelona,ES,2026-03-25 08:00
Diego Lopez,diego.lopez18@outlook.com,+54297018781,2026-04-12,10:00,Symptomatic IV,Desktop,iOS,Edge,Madrid,ES,2026-04-12 16:00
Isabella Garcia,isabella.garcia97@gmail.com,+52278575192,2026-03-06,11:00,Facial Harmonization,Mobile,Android,Edge,Bogota,CO,2026-03-06 08:00
Camila Ramirez,camila.ramirez55@yahoo.com,+1810678904,2026-06-12,15:00,Facial Harmonization,Mobile,Android,Firefox,Miami,US,2026-06-12 09:00
Joaquin Perez,joaquin.perez7@gmail.com,+1611947770,2026-07-10,14:00,Consulta Virtual,Mobile,Linux,Chrome,Ciudad de Mexico,MX,2026-07-10 08:00
Tomas Rodriguez,tomas.rodriguez52@hotmail.com,+34711684318,2026-03-16,09:00,Facial Harmonization,Mobile,iOS,Safari,Barcelona,ES,2026-03-16 11:00
Camila Lopez,camila.lopez31@yahoo.com,+57524971817,2026-02-06,09:00,Consulta General,Mobile,Windows,Edge,Ciudad de Mexico,MX,2026-02-06 10:00
Tomas Rodriguez,tomas.rodriguez69@gmail.com,+52643189555,2026-07-06,10:00,Vitamin C IV,Mobile,Windows,Safari,Guadalajara,MX,2026-07-06 09:00
Isabella Moreno,isabella.moreno79@yahoo.com,+1108399996,2026-04-21,15:00,Enfermedades Crónicas,Mobile,Windows,Safari,Valencia,ES,2026-04-21 09:00
Isabella Martinez,isabella.martinez37@yahoo.com,+1326161867,2026-05-18,15:00,IV Rehydration,Mobile,Windows,Edge,Madrid,ES,2026-05-18 10:00
Andres Martinez,andres.martinez21@yahoo.com,+54692362342,2026-07-08,15:00,Symptomatic IV,Desktop,iOS,Safari,Madrid,ES,2026-07-08 08:00
Hugo Perez,hugo.perez56@hotmail.com,+52144913399,2026-01-29,10:00,IV Rehydration,Desktop,iOS,Firefox,Ciudad de Mexico,MX,2026-01-29 09:00
Hugo Sanchez,hugo.sanchez31@hotmail.com,+52958872154,2026-01-30,16:00,B-Complex IV,Mobile,macOS,Safari,Ciudad de Mexico,MX,2026-01-30 09:00
Martina Moreno,martina.moreno35@hotmail.com,+52945436943,2026-04-30,15:00,Vitamin C IV,Desktop,iOS,Edge,Valencia,ES,2026-04-30 09:00
Camila Lopez,camila.lopez4@hotmail.com,+52527849588,2026-06-03,10:00,B-Complex IV,Desktop,iOS,Firefox,Ciudad de Mexico,MX,2026-06-03 10:00
Hugo Torres,hugo.torres4@yahoo.com,+34380477683,2026-02-10,09:00,Facial Harmonization,Mobile,Windows,Safari,Bogota,CO,2026-02-10 08:00
Mateo Sanchez,mateo.sanchez33@hotmail.com,+34861052404,2026-02-20,11:00,Vitamin C IV,Mobile,Linux,Chrome,Miami,US,2026-02-20 10:00
Mateo Moreno,mateo.moreno65@yahoo.com,+57816070802,2026-04-03,11:00,IV Rehydration,Desktop,Windows,Chrome,Bogota,CO,2026-04-03 09:00
Joaquin Martinez,joaquin.martinez52@yahoo.com,+1995205588,2026-04-08,08:00,IV Rehydration,Desktop,Android,Edge,Valencia,ES,2026-04-08 16:00
Sebastian Ramirez,sebastian.ramirez66@hotmail.com,+54952266893,2026-02-26,16:00,Consulta General,Mobile,iOS,Firefox,Barcelona,ES,2026-02-26 14:00
Hugo Lopez,hugo.lopez29@yahoo.com,+52258220114,2026-02-05,08:00,Vitamin C IV,Desktop,macOS,Safari,Valencia,ES,2026-02-05 11:00
Joaquin Moreno,joaquin.moreno64@outlook.com,+54361976301,2026-04-09,09:00,Consulta General,Desktop,iOS,Safari,Guadalajara,MX,2026-04-09 16:00
Joaquin Torres,joaquin.torres7@outlook.com,+1367574609,2026-04-07,16:00,Vitamin C IV,Mobile,Android,Edge,Medellin,CO,2026-04-07 15:00
Emma Ramirez,emma.ramirez71@outlook.com,+54270894498,2026-03-11,15:00,Enfermedades Crónicas,Tablet,macOS,Firefox,Guadalajara,MX,2026-03-11 16:00
Emma Torres,emma.torres81@outlook.com,+52394846763,2026-05-22,11:00,Vitamin C IV,Desktop,Windows,Chrome,Barcelona,ES,2026-05-22 10:00
Sofia Martinez,sofia.martinez50@hotmail.com,+52858511779,2026-04-30,09:00,Vitamin C IV,Mobile,macOS,Firefox,Ciudad de Mexico,MX,2026-04-30 14:00
Valeria Sanchez,valeria.sanchez98@gmail.com,+1508431021,2026-03-27,11:00,Vitamin C IV,Mobile,Windows,Firefox,Barcelona,ES,2026-03-27 16:00
Valeria Torres,valeria.torres63@hotmail.com,+52393062061,2026-04-16,11:00,Facial Harmonization,Desktop,macOS,Firefox,Miami,US,2026-04-16 15:00
Sofia Flores,sofia.flores51@gmail.com,+1706011277,2026-02-01,15:00,Vitamin C IV,Desktop,macOS,Chrome,Medellin,CO,2026-02-01 16:00
Andres Perez,andres.perez36@outlook.com,+54370874491,2026-03-26,16:00,Vitamin C IV,Mobile,iOS,Safari,Barcelona,ES,2026-03-26 10:00
Martina Garcia,martina.garcia32@gmail.com,+52121882877,2026-05-28,14:00,Vitamin C IV,Desktop,Android,Edge,Medellin,CO,2026-05-28 15:00
Joaquin Gonzalez,joaquin.gonzalez22@yahoo.com,+1752027025,2026-06-25,15:00,Consulta General,Mobile,Android,Firefox,Barcelona,ES,2026-06-25 08:00
Martina Sanchez,martina.sanchez92@outlook.com,+52181600593,2026-02-26,14:00,Consulta General,Mobile,Android,Safari,Barcelona,ES,2026-02-26 15:00
Mateo Flores,mateo.flores45@gmail.com,+1559967386,2026-05-08,15:00,IV Rehydration,Desktop,Linux,Firefox,Guadalajara,MX,2026-05-08 08:00
Andres Diaz,andres.diaz91@outlook.com,+52567600762,2026-04-08,09:00,Consulta General,Desktop,Windows,Edge,Madrid,ES,2026-04-08 11:00
Diego Rodriguez,diego.rodriguez58@yahoo.com,+52905817775,2026-04-04,11:00,Facial Harmonization,Mobile,macOS,Firefox,Barcelona,ES,2026-04-04 08:00
Diego Perez,diego.perez44@yahoo.com,+57740116562,2026-03-20,15:00,Atención Pediátrica,Desktop,Linux,Safari,Madrid,ES,2026-03-20 14:00
Joaquin Ramirez,joaquin.ramirez58@outlook.com,+34199915275,2026-06-04,10:00,B-Complex IV,Mobile,Android,Firefox,Bogota,CO,2026-06-04 15:00
Andres Sanchez,andres.sanchez46@yahoo.com,+54390894296,2026-02-26,10:00,B-Complex IV,Mobile,iOS,Chrome,Ciudad de Mexico,MX,2026-02-26 10:00
Joaquin Martinez,joaquin.martinez28@hotmail.com,+54396889215,2026-06-24,15:00,General Consultation,Desktop,Linux,Firefox,Miami,US,2026-06-24 08:00
Camila Garcia,camila.garcia36@hotmail.com,+34158546865,2026-06-05,14:00,IV Rehydration,Mobile,Android,Edge,Valencia,ES,2026-06-05 08:00
Sebastian Perez,sebastian.perez7@hotmail.com,+57612957813,2026-07-21,08:00,Enfermedades Crónicas,Mobile,macOS,Edge,Ciudad de Mexico,MX,2026-07-21 08:00
Sofia Flores,sofia.flores11@yahoo.com,+52227186396,2026-02-27,14:00,Medicina Preventiva,Desktop,Linux,Chrome,Madrid,ES,2026-02-27 16:00
Camila Flores,camila.flores40@outlook.com,+1766823010,2026-03-13,08:00,General Consultation,Mobile,iOS,Chrome,Buenos Aires,AR,2026-03-13 15:00
Mateo Martinez,mateo.martinez53@gmail.com,+54840206617,2026-05-30,14:00,Symptomatic IV,Mobile,iOS,Chrome,Madrid,ES,2026-05-30 10:00
Camila Diaz,camila.diaz55@hotmail.com,+34684719405,2026-01-23,09:00,General Consultation,Mobile,Windows,Chrome,Barcelona,ES,2026-01-23 08:00
Joaquin Flores,joaquin.flores57@yahoo.com,+34603260608,2026-07-09,15:00,IV Rehydration,Mobile,macOS,Firefox,Barcelona,ES,2026-07-09 14:00
Joaquin Perez,joaquin.perez4@yahoo.com,+34345805719,2026-03-07,15:00,Enfermedades Crónicas,Mobile,Linux,Safari,Buenos Aires,AR,2026-03-07 16:00
Emma Martinez,emma.martinez67@outlook.com,+54398668350,2026-02-02,09:00,Visita Domiciliaria,Desktop,macOS,Edge,Guadalajara,MX,2026-02-02 08:00
Martina Rodriguez,martina.rodriguez43@hotmail.com,+54844826434,2026-03-26,11:00,B-Complex IV,Mobile,macOS,Safari,Valencia,ES,2026-03-26 11:00
Emma Sanchez,emma.sanchez85@gmail.com,+1596043327,2026-07-02,11:00,Vitamin C IV,Mobile,Linux,Firefox,Barcelona,ES,2026-07-02 14:00
Diego Gonzalez,diego.gonzalez37@hotmail.com,+54849740261,2026-03-19,11:00,Vitamin C IV,Desktop,Linux,Chrome,Bogota,CO,2026-03-19 15:00
Hugo Rodriguez,hugo.rodriguez16@outlook.com,+52635126623,2026-06-13,15:00,IV Rehydration,Mobile,Windows,Edge,Madrid,ES,2026-06-13 16:00
Isabella Martinez,isabella.martinez25@outlook.com,+1645719501,2026-03-23,15:00,Atención Pediátrica,Tablet,iOS,Firefox,Barcelona,ES,2026-03-23 16:00
Camila Garcia,camila.garcia93@yahoo.com,+57999232921,2026-04-09,14:00,Facial Harmonization,Mobile,macOS,Chrome,Medellin,CO,2026-04-09 11:00
Emma Torres,emma.torres59@outlook.com,+57302563940,2026-03-09,15:00,B-Complex IV,Mobile,macOS,Chrome,Valencia,ES,2026-03-09 16:00
Joaquin Sanchez,joaquin.sanchez85@outlook.com,+52631855083,2026-04-10,08:00,Vitamin C IV,Mobile,Linux,Firefox,Bogota,CO,2026-04-10 16:00
Isabella Ramirez,isabella.ramirez93@gmail.com,+52540211187,2026-06-29,16:00,Consulta General,Desktop,Android,Safari,Valencia,ES,2026-06-29 11:00
Martina Rodriguez,martina.rodriguez87@yahoo.com,+1508031980,2026-05-18,10:00,General Consultation,Mobile,macOS,Safari,Bogota,CO,2026-05-18 14:00
Camila Lopez,camila.lopez56@gmail.com,+34916440738,2026-07-07,15:00,Consulta General,Mobile,iOS,Edge,Bogota,CO,2026-07-07 09:00
Andres Garcia,andres.garcia46@yahoo.com,+57562446417,2026-01-28,09:00,B-Complex IV,Mobile,macOS,Chrome,Madrid,ES,2026-01-28 09:00
Tomas Diaz,tomas.diaz64@hotmail.com,+1253671484,2026-06-10,09:00,Symptomatic IV,Mobile,Windows,Edge,Buenos Aires,AR,2026-06-10 10:00
Camila Diaz,camila.diaz10@hotmail.com,+54471048258,2026-02-04,14:00,IV Rehydration,Mobile,macOS,Firefox,Medellin,CO,2026-02-04 11:00
Sebastian Rodriguez,sebastian.rodriguez49@hotmail.com,+1485429460,2026-05-08,14:00,IV Rehydration,Mobile,Windows,Safari,Valencia,ES,2026-05-08 16:00
Hugo Diaz,hugo.diaz78@gmail.com,+54994253959,2026-02-06,10:00,Medicina Preventiva,Mobile,Android,Firefox,Madrid,ES,2026-02-06 09:00
Emma Moreno,emma.moreno81@hotmail.com,+34773728014,2026-02-12,15:00,Vitamin C IV,Mobile,macOS,Safari,Barcelona,ES,2026-02-12 14:00
Camila Perez,camila.perez23@outlook.com,+52241905500,2026-04-22,16:00,Facial Harmonization,Desktop,Windows,Firefox,Madrid,ES,2026-04-22 16:00
Sebastian Gonzalez,sebastian.gonzalez15@yahoo.com,+54180852074,2026-06-12,09:00,Medicina Preventiva,Mobile,Android,Edge,Medellin,CO,2026-06-12 16:00
Lucia Gonzalez,lucia.gonzalez59@gmail.com,+57822443971,2026-03-04,15:00,Consulta General,Mobile,Linux,Edge,Medellin,CO,2026-03-04 16:00
Diego Ramirez,diego.ramirez80@gmail.com,+1452194058,2026-02-11,14:00,B-Complex IV,Tablet,iOS,Edge,Madrid,ES,2026-02-11 15:00
Lucia Garcia,lucia.garcia64@yahoo.com,+34204359116,2026-05-08,09:00,Atención Pediátrica,Desktop,Android,Edge,Madrid,ES,2026-05-08 11:00
Isabella Sanchez,isabella.sanchez54@hotmail.com,+34995171130,2026-04-21,11:00,General Consultation,Desktop,Windows,Safari,Bogota,CO,2026-04-21 15:00
Diego Perez,diego.perez88@gmail.com,+57684615760,2026-04-21,15:00,IV Rehydration,Mobile,macOS,Firefox,Ciudad de Mexico,MX,2026-04-21 09:00
Mateo Diaz,mateo.diaz83@hotmail.com,+1122932394,2026-06-23,08:00,Medicina Preventiva,Tablet,Android,Chrome,Medellin,CO,2026-06-23 16:00
Isabella Lopez,isabella.lopez30@hotmail.com,+57931471931,2026-03-02,09:00,Medicina Preventiva,Mobile,Linux,Safari,Medellin,CO,2026-03-02 10:00
Emma Martinez,emma.martinez85@gmail.com,+34241522640,2026-06-17,08:00,IV Rehydration,Tablet,Android,Firefox,Ciudad de Mexico,MX,2026-06-17 08:00
Valeria Torres,valeria.torres96@gmail.com,+34611365210,2026-06-10,11:00,Medicina Preventiva,Mobile,Linux,Safari,Madrid,ES,2026-06-10 11:00
Joaquin Diaz,joaquin.diaz59@yahoo.com,+34165310776,2026-03-18,11:00,Enfermedades Crónicas,Mobile,macOS,Safari,Guadalajara,MX,2026-03-18 11:00
Tomas Martinez,tomas.martinez17@gmail.com,+57770355806,2026-04-02,15:00,General Consultation,Mobile,Windows,Edge,Madrid,ES,2026-04-02 14:00
Valeria Rodriguez,valeria.rodriguez84@gmail.com,+1873995963,2026-03-11,16:00,B-Complex IV,Mobile,macOS,Chrome,Ciudad de Mexico,MX,2026-03-11 11:00
Joaquin Rodriguez,joaquin.rodriguez55@yahoo.com,+57814154134,2026-04-29,10:00,IV Rehydration,Desktop,Android,Edge,Valencia,ES,2026-04-29 08:00
Mateo Moreno,mateo.moreno17@yahoo.com,+1164404084,2026-07-01,14:00,Visita Domiciliaria,Desktop,Linux,Firefox,Madrid,ES,2026-07-01 15:00
Emma Sanchez,emma.sanchez37@gmail.com,+1435489452,2026-06-23,10:00,Vitamin C IV,Mobile,Linux,Chrome,Buenos Aires,AR,2026-06-23 09:00
Andres Torres,andres.torres15@yahoo.com,+57716435189,2026-02-06,09:00,Medicina Preventiva,Mobile,Linux,Safari,Buenos Aires,AR,2026-02-06 14:00
Sofia Gonzalez,sofia.gonzalez44@yahoo.com,+57106556040,2026-02-06,09:00,Atención Pediátrica,Desktop,Linux,Edge,Barcelona,ES,2026-02-06 08:00
Mateo Moreno,mateo.moreno49@hotmail.com,+54587098457,2026-06-18,10:00,Vitamin C IV,Desktop,Windows,Firefox,Miami,US,2026-06-18 16:00
Lucia Diaz,lucia.diaz35@gmail.com,+54810751262,2026-02-27,11:00,Facial Harmonization,Mobile,macOS,Edge,Bogota,CO,2026-02-27 10:00
Camila Diaz,camila.diaz68@outlook.com,+57148766522,2026-05-30,09:00,IV Rehydration,Mobile,Linux,Safari,Valencia,ES,2026-05-30 08:00
Sofia Gonzalez,sofia.gonzalez42@yahoo.com,+34108299923,2026-06-02,11:00,Medicina Preventiva,Mobile,Android,Chrome,Barcelona,ES,2026-06-02 11:00
Hugo Diaz,hugo.diaz10@yahoo.com,+54896760809,2026-03-10,08:00,Symptomatic IV,Desktop,macOS,Safari,Ciudad de Mexico,MX,2026-03-10 16:00
Joaquin Diaz,joaquin.diaz38@outlook.com,+34534900128,2026-05-05,08:00,Visita Domiciliaria,Mobile,Android,Edge,Guadalajara,MX,2026-05-05 16:00
Hugo Rodriguez,hugo.rodriguez56@hotmail.com,+1529979713,2026-01-29,14:00,Vitamin C IV,Desktop,Windows,Firefox,Madrid,ES,2026-01-29 09:00
Martina Rodriguez,martina.rodriguez45@hotmail.com,+57881017363,2026-04-30,16:00,General Consultation,Desktop,Android,Chrome,Madrid,ES,2026-04-30 08:00
Sofia Diaz,sofia.diaz23@gmail.com,+54598165815,2026-06-17,16:00,Facial Harmonization,Mobile,Linux,Edge,Madrid,ES,2026-06-17 15:00
Andres Diaz,andres.diaz20@yahoo.com,+54173321814,2026-03-02,11:00,Symptomatic IV,Desktop,Windows,Firefox,Miami,US,2026-03-02 14:00
Sebastian Ramirez,sebastian.ramirez8@gmail.com,+57993027458,2026-07-10,10:00,Vitamin C IV,Mobile,iOS,Edge,Madrid,ES,2026-07-10 11:00
Lucia Ramirez,lucia.ramirez42@hotmail.com,+1610702777,2026-02-26,14:00,Vitamin C IV,Mobile,iOS,Edge,Medellin,CO,2026-02-26 08:00
Martina Martinez,martina.martinez32@gmail.com,+54571825556,2026-04-28,14:00,Facial Harmonization,Tablet,Android,Firefox,Madrid,ES,2026-04-28 10:00
Martina Flores,martina.flores81@gmail.com,+57170772317,2026-05-13,10:00,Vitamin C IV,Mobile,macOS,Firefox,Medellin,CO,2026-05-13 10:00
Sofia Perez,sofia.perez75@gmail.com,+52475617211,2026-02-06,10:00,Visita Domiciliaria,Tablet,macOS,Chrome,Guadalajara,MX,2026-02-06 14:00
Emma Perez,emma.perez86@hotmail.com,+1200344359,2026-07-03,15:00,Consulta General,Mobile,Linux,Firefox,Valencia,ES,2026-07-03 08:00
Andres Ramirez,andres.ramirez29@hotmail.com,+52266371119,2026-04-23,08:00,IV Rehydration,Mobile,iOS,Safari,Miami,US,2026-04-23 15:00
Tomas Sanchez,tomas.sanchez21@hotmail.com,+52992649957,2026-04-29,15:00,Medicina Preventiva,Desktop,Android,Edge,Guadalajara,MX,2026-04-29 08:00
Sebastian Flores,sebastian.flores97@yahoo.com,+54351258749,2026-04-10,14:00,B-Complex IV,Mobile,macOS,Chrome,Bogota,CO,2026-04-10 10:00
Camila Sanchez,camila.sanchez21@outlook.com,+52960345542,2026-02-01,14:00,Vitamin C IV,Tablet,Windows,Safari,Ciudad de Mexico,MX,2026-02-01 15:00
Mateo Moreno,mateo.moreno37@gmail.com,+34919390458,2026-03-23,09:00,B-Complex IV,Desktop,Linux,Chrome,Ciudad de Mexico,MX,2026-03-23 16:00
Lucia Sanchez,lucia.sanchez51@gmail.com,+1501538092,2026-04-02,09:00,IV Rehydration,Desktop,iOS,Firefox,Buenos Aires,AR,2026-04-02 09:00
Joaquin Diaz,joaquin.diaz19@yahoo.com,+52141127742,2026-07-17,10:00,Consulta Virtual,Mobile,macOS,Chrome,Madrid,ES,2026-07-17 16:00
Diego Martinez,diego.martinez15@outlook.com,+57355164255,2026-01-24,10:00,Vitamin C IV,Desktop,Android,Edge,Madrid,ES,2026-01-24 15:00
Isabella Garcia,isabella.garcia92@hotmail.com,+52412750915,2026-02-13,11:00,Vitamin C IV,Desktop,Windows,Chrome,Ciudad de Mexico,MX,2026-02-13 14:00
Isabella Perez,isabella.perez68@gmail.com,+1644738967,2026-04-09,16:00,Visita Domiciliaria,Mobile,Linux,Safari,Bogota,CO,2026-04-09 11:00
Andres Gonzalez,andres.gonzalez46@gmail.com,+34470228863,2026-03-26,09:00,Consulta General,Mobile,iOS,Firefox,Valencia,ES,2026-03-26 09:00
Martina Martinez,martina.martinez90@outlook.com,+54778321204,2026-07-13,09:00,Enfermedades Crónicas,Mobile,iOS,Edge,Valencia,ES,2026-07-13 08:00
Camila Torres,camila.torres70@outlook.com,+54371993587,2026-05-08,08:00,Medicina Preventiva,Desktop,Android,Firefox,Barcelona,ES,2026-05-08 10:00
Andres Sanchez,andres.sanchez96@outlook.com,+54515156661,2026-07-12,10:00,Visita Domiciliaria,Mobile,macOS,Edge,Madrid,ES,2026-07-12 10:00
Tomas Martinez,tomas.martinez42@yahoo.com,+34185973340,2026-03-13,10:00,Consulta General,Desktop,Windows,Edge,Madrid,ES,2026-03-13 14:00
Sebastian Garcia,sebastian.garcia79@yahoo.com,+54394801573,2026-04-06,15:00,Visita Domiciliaria,Mobile,iOS,Safari,Ciudad de Mexico,MX,2026-04-06 15:00
Joaquin Diaz,joaquin.diaz4@hotmail.com,+52752376434,2026-02-11,15:00,Medicina Preventiva,Mobile,iOS,Chrome,Ciudad de Mexico,MX,2026-02-11 08:00
Valeria Flores,valeria.flores78@gmail.com,+52829137330,2026-05-25,11:00,Visita Domiciliaria,Desktop,Windows,Edge,Valencia,ES,2026-05-25 16:00
Diego Rodriguez,diego.rodriguez95@gmail.com,+52635844374,2026-07-02,14:00,IV Rehydration,Mobile,Linux,Safari,Guadalajara,MX,2026-07-02 10:00
Tomas Gonzalez,tomas.gonzalez26@outlook.com,+34245737277,2026-05-19,16:00,Vitamin C IV,Desktop,Android,Edge,Barcelona,ES,2026-05-19 08:00
Joaquin Rodriguez,joaquin.rodriguez39@yahoo.com,+52864299201,2026-01-31,15:00,Consulta Virtual,Tablet,Android,Firefox,Bogota,CO,2026-01-31 14:00
Sofia Lopez,sofia.lopez4@outlook.com,+57694875990,2026-05-28,14:00,IV Rehydration,Mobile,Linux,Chrome,Barcelona,ES,2026-05-28 14:00
Joaquin Moreno,joaquin.moreno68@outlook.com,+54925884151,2026-07-02,11:00,Enfermedades Crónicas,Mobile,iOS,Chrome,Valencia,ES,2026-07-02 10:00
Isabella Perez,isabella.perez71@hotmail.com,+1295381429,2026-02-10,16:00,Visita Domiciliaria,Mobile,macOS,Safari,Ciudad de Mexico,MX,2026-02-10 16:00
Sofia Perez,sofia.perez45@hotmail.com,+1404994549,2026-06-23,16:00,Vitamin C IV,Mobile,Android,Firefox,Barcelona,ES,2026-06-23 09:00
Tomas Martinez,tomas.martinez85@hotmail.com,+1873773537,2026-02-13,14:00,IV Rehydration,Mobile,Linux,Safari,Madrid,ES,2026-02-13 16:00
Emma Flores,emma.flores84@yahoo.com,+52923515952,2026-07-17,14:00,Symptomatic IV,Mobile,iOS,Edge,Miami,US,2026-07-17 15:00
Martina Sanchez,martina.sanchez59@yahoo.com,+34839393192,2026-03-04,08:00,Vitamin C IV,Mobile,macOS,Edge,Medellin,CO,2026-03-04 11:00
Hugo Moreno,hugo.moreno94@yahoo.com,+57528118701,2026-06-02,09:00,Medicina Preventiva,Mobile,Linux,Safari,Madrid,ES,2026-06-02 10:00
Lucia Gonzalez,lucia.gonzalez79@outlook.com,+54366578178,2026-05-21,16:00,Consulta Virtual,Mobile,Windows,Firefox,Madrid,ES,2026-05-21 09:00
Lucia Rodriguez,lucia.rodriguez65@outlook.com,+54358480413,2026-06-12,09:00,General Consultation,Mobile,iOS,Safari,Barcelona,ES,2026-06-12 10:00
Martina Ramirez,martina.ramirez69@yahoo.com,+34215424112,2026-03-20,11:00,Vitamin C IV,Mobile,Windows,Firefox,Medellin,CO,2026-03-20 16:00
Andres Torres,andres.torres10@yahoo.com,+54641440255,2026-04-09,11:00,Medicina Preventiva,Mobile,Windows,Safari,Ciudad de Mexico,MX,2026-04-09 09:00
Andres Torres,andres.torres97@yahoo.com,+52313736772,2026-06-30,14:00,Facial Harmonization,Mobile,Linux,Safari,Medellin,CO,2026-06-30 08:00
Sebastian Torres,sebastian.torres20@outlook.com,+1653520069,2026-07-15,09:00,IV Rehydration,Mobile,Linux,Firefox,Valencia,ES,2026-07-15 09:00
Camila Flores,camila.flores65@yahoo.com,+1671595541,2026-04-15,11:00,Consulta General,Tablet,Windows,Edge,Bogota,CO,2026-04-15 16:00
Valeria Flores,valeria.flores93@yahoo.com,+34740926818,2026-07-20,11:00,B-Complex IV,Mobile,Linux,Chrome,Bogota,CO,2026-07-20 15:00
Emma Sanchez,emma.sanchez88@hotmail.com,+52133898577,2026-07-09,14:00,Visita Domiciliaria,Mobile,iOS,Chrome,Bogota,CO,2026-07-09 08:00
Joaquin Lopez,joaquin.lopez65@outlook.com,+1606382505,2026-04-03,16:00,Enfermedades Crónicas,Mobile,iOS,Chrome,Madrid,ES,2026-04-03 14:00
Sebastian Torres,sebastian.torres41@outlook.com,+52593559955,2026-06-01,14:00,IV Rehydration,Mobile,Windows,Firefox,Miami,US,2026-06-01 14:00
Isabella Gonzalez,isabella.gonzalez39@hotmail.com,+57856881618,2026-03-23,09:00,Consulta General,Mobile,macOS,Firefox,Barcelona,ES,2026-03-23 11:00
Isabella Sanchez,isabella.sanchez45@outlook.com,+52411871167,2026-04-23,08:00,B-Complex IV,Mobile,iOS,Firefox,Guadalajara,MX,2026-04-23 11:00
Camila Torres,camila.torres18@yahoo.com,+34761078179,2026-02-04,15:00,General Consultation,Mobile,Android,Safari,Medellin,CO,2026-02-04 15:00
Mateo Sanchez,mateo.sanchez92@yahoo.com,+54207959268,2026-03-11,15:00,Medicina Preventiva,Mobile,iOS,Chrome,Barcelona,ES,2026-03-11 11:00
Diego Gonzalez,diego.gonzalez37@yahoo.com,+34925412179,2026-02-07,08:00,General Consultation,Desktop,Android,Safari,Ciudad de Mexico,MX,2026-02-07 09:00
Lucia Sanchez,lucia.sanchez24@outlook.com,+57140229006,2026-04-09,08:00,IV Rehydration,Desktop,Linux,Safari,Madrid,ES,2026-04-09 10:00
Isabella Ramirez,isabella.ramirez65@hotmail.com,+54392956587,2026-05-13,09:00,Medicina Preventiva,Mobile,Windows,Chrome,Guadalajara,MX,2026-05-13 15:00
Andres Gonzalez,andres.gonzalez23@hotmail.com,+1785826598,2026-03-29,11:00,Enfermedades Crónicas,Desktop,Linux,Firefox,Madrid,ES,2026-03-29 08:00
